title_pt,original_title,runtime,tagline,genres,backdrop_url,poster_url,director,personal_rating,launching_year,tmdb_id
Superman,Superman,128,Olhe para cima.,"Ficção científica, Aventura, Ação",https://image.tmdb.org/t/p/w500/aJDLz1748CIMZkCkyISYe5Hl6I7.jpg,https://image.tmdb.org/t/p/w500/xeZ8oG6W60fEPf9yCjERUXiHRBF.jpg,James Gunn,9.0,2025,1061474
Quarteto Fantástico: Primeiros Passos,The Fantastic 4: First Steps,115,Bem-vindos à família.,"Ficção científica, Aventura, Ação",https://image.tmdb.org/t/p/w500/s94NjfKkcSczZ1FembwmQZwsuwY.jpg,https://image.tmdb.org/t/p/w500/hlWOAWRKSno6UxaE0IXDFVvmzTf.jpg,Matt Shakman,7.0,2025,617126
Uma Caminhada na Floresta,A Walk in the Woods,104,,"Aventura, Comédia, Drama",https://image.tmdb.org/t/p/w500/oXj7C4IuTTtA2iR7hCYtGRy0BS1.jpg,https://image.tmdb.org/t/p/w500/32VIPl1RG9BgJUuydK6qUdjFzCo.jpg,Ken Kwapis,7.0,2015,232572
Menina de Ouro,Million Dollar Baby,132,"Além de seu silêncio, existe um passado. Além de seus sonhos, há um sentimento. Além da esperança, existe uma memória. Além de sua jornada, existe um amor.",Drama,https://image.tmdb.org/t/p/w500/oGMomeS7bE43eN8SGJUaKvQnmud.jpg,https://image.tmdb.org/t/p/w500/edzbBaAHoJGvmNtY2Qck936AgnI.jpg,Clint Eastwood,9.0,2004,70
Ficção Americana,American Fiction,117,,"Comédia, Drama",https://image.tmdb.org/t/p/w500/3mpgltEMgPf8zFtPnAWdDVN8ZT1.jpg,https://image.tmdb.org/t/p/w500/bndwT7YCJv9nEHGSXuzvx9PJ013.jpg,Cord Jefferson,9.0,2023,1056360
O Aprendiz,The Apprentice,120,,"História, Drama",https://image.tmdb.org/t/p/w500/kv9xVrxfLpudBLyYf1QvLCpUQuy.jpg,https://image.tmdb.org/t/p/w500/kSXqBw3QzKqSx8ZAeWL9ms1zw2n.jpg,Ali Abbasi,8.8,2024,1182047
Ratos e Homens,Of Mice and Men,110,Nós temos um sonho. Um lugar para chamar de lar.,Drama,https://image.tmdb.org/t/p/w500/5HVwz8cImMEwcV2z1SMFyJHY51q.jpg,https://image.tmdb.org/t/p/w500/lnecIARJi0C2n5VuDOcVNZmU38.jpg,Gary Sinise,7.5,1992,9609
Conclave,Conclave,120,O que acontece entre estas paredes vai mudar tudo.,"Drama, Thriller",https://image.tmdb.org/t/p/w500/eZzNdjNDvaSoyywy9ICg2UmFwul.jpg,https://image.tmdb.org/t/p/w500/wWn78TMMw8yOdr5sG0Yl9v4saoA.jpg,Edward Berger,8.9,2024,974576
Green Book: O Guia,Green Book,131,Inspirado em uma amizade verdadeira,"Drama, Comédia, História",https://image.tmdb.org/t/p/w500/5En0fmDagt3Pk8d7P3uTwfeQceg.jpg,https://image.tmdb.org/t/p/w500/u9dldwRwQjTZGlIxKaAtAPLAjOv.jpg,Peter Farrelly,9.0,2018,490132
Sniper Americano,American Sniper,132,O atirador mais letal na história dos Estados Unidos.,"Guerra, Ação",https://image.tmdb.org/t/p/w500/rl95VDEP3nsUQmGzE0S1S7y6T0N.jpg,https://image.tmdb.org/t/p/w500/mAXzc2oDTTYcnn6IGHlSXvmXloG.jpg,Clint Eastwood,8.7,2014,190859
Perfume de Mulher,Scent of a Woman,156,O Coronel Frank Slade tem um plano muito especial para o fim de semana!,Drama,https://image.tmdb.org/t/p/w500/fa03pD2qYmms4ZMgAv7PMqfFiGO.jpg,https://image.tmdb.org/t/p/w500/7vYWmKziZCfuXuIesRdVHUtXaLY.jpg,Martin Brest,8.0,1992,9475
Uma Mente Brilhante,A Beautiful Mind,135,Ele viu o mundo de uma maneira que ninguém poderia imaginar.,"Drama, Romance",https://image.tmdb.org/t/p/w500/vVBcIN68kFq681b4lObiNJhEVro.jpg,https://image.tmdb.org/t/p/w500/8K5W9QnNT7r1V9GuJ5z5KlrROkd.jpg,Ron Howard,8.0,2001,453
